t,x,,x??,v
0,-631.94,,0,0.3
0.03,-631.82,,0.01,4.08
0.07,-630.1,,0.15,7.4
0.1,-626.99,,0.39,12.26
0.13,-621.83,,0.8,15.8
0.17,-615.18,,1.33,16.98
0.2,-608.03,,1.89,19.23
0.23,-599.93,,2.53,17.58
0.27,-592.54,,3.12,18.19
0.3,-584.88,,3.73,15.78
0.33,-578.24,,4.25,14.68
0.37,-572.06,,4.74,11.73
0.4,-567.12,,5.13,8.75
0.43,-563.44,,5.42,7.73
0.47,-560.19,,5.68,2.74
0.5,-559.03,,5.77,-0.43
0.53,-559.21,,5.76,-4.52
0.57,-561.12,,5.61,-6.52
0.6,-563.86,,5.39,-9.55
0.63,-567.88,,5.07,-11.96
0.67,-572.91,,4.67,-14.38
0.7,-578.96,,4.2,-14.29
0.73,-584.98,,3.72,-16.08
0.77,-591.74,,3.18,-15.11
0.8,-598.1,,2.68,-13.88
0.83,-603.95,,2.22,-13.92
0.87,-609.81,,1.75,-9.74
0.9,-613.9,,1.43,-6.79
0.93,-616.76,,1.2,-3.1
0.97,-618.07,,1.1,0.68
1,-617.78,,1.12,4.09
1.03,-616.06,,1.26,7.2
1.07,-613.03,,1.5,10.03
1.1,-608.81,,1.83,11.93
1.13,-603.79,,2.23,14.28
1.17,-597.78,,2.71,15.55
1.2,-591.23,,3.22,15.26
1.23,-584.81,,3.73,13.59
1.27,-579.09,,4.19,12.68
1.3,-573.75,,4.61,11.17
1.33,-569.05,,4.98,8.85
1.37,-565.32,,5.28,7.1
1.4,-562.33,,5.51,3.8
1.43,-560.73,,5.64,1.17
1.47,-560.24,,5.68,-1.94
1.5,-561.06,,5.61,-4.1
1.53,-562.79,,5.48,-7.44
1.57,-565.92,,5.23,-9.06
1.6,-569.73,,4.93,-10
1.63,-573.94,,4.59,-11.42
1.67,-578.75,,4.21,-10.93
1.7,-583.35,,3.85,-11.67
1.73,-588.26,,3.46,-10.74
1.77,-592.78,,3.1,-8.25
1.8,-596.26,,2.83,-7.14
1.83,-599.26,,2.59,-5.38
1.87,-601.53,,2.41,-0.9
1.9,-601.91,,2.38,-0.29
1.93,-602.03,,2.37,4.01
1.97,-600.34,,2.5,5.71
2,-597.94,,2.69,8.13
2.03,-594.52,,2.96,9.05
2.07,-590.71,,3.27,10.52
2.1,-586.28,,3.62,10.76
2.13,-581.75,,3.97,11.67
2.17,-576.84,,4.36,11.36
2.2,-572.06,,4.74,8.99
2.23,-568.27,,5.04,7.95
2.27,-564.93,,5.31,7.1
2.3,-561.94,,5.54,4.74
2.33,-559.94,,5.7,2.28
2.37,-558.98,,5.78,0.1
2.4,-558.94,,5.78,-2.06
2.43,-559.81,,5.71,-4.86
2.47,-561.85,,5.55,-5.19
2.5,-564.04,,5.38,-7.05
2.53,-567,,5.14,-8.39
2.57,-570.54,,4.86,-8.08
2.6,-573.94,,4.59,-8.75
2.63,-577.62,,4.3,-7.8
2.67,-580.9,,4.04,-6.67
2.7,-583.71,,3.82,-5.31
2.73,-585.94,,3.64,-2.5
2.77,-587,,3.56,-2.65
2.8,-588.11,,3.47,0.23
2.83,-588.02,,3.48,2.51
2.87,-586.96,,3.56,2.39
2.9,-585.95,,3.64,5.2
2.93,-583.76,,3.82,6.69
2.97,-580.95,,4.04,7.15
3,-577.94,,4.28,7.83
3.03,-574.65,,4.54,8.39
3.07,-571.12,,4.82,8.06
3.1,-567.73,,5.09,7.71
3.13,-564.48,,5.34,6.5
3.17,-561.74,,5.56,4.96
3.2,-559.66,,5.72,4.59
3.23,-557.73,,5.88,2.75
3.27,-556.57,,5.97,1.29
3.3,-556.02,,6.01,-0.08
3.33,-556.06,,6.01,-2.02
3.37,-556.91,,5.94,-2.3
3.4,-557.87,,5.87,-2.91
3.43,-559.1,,5.77,-4.6
3.47,-561.03,,5.62,-4.83
3.5,-563.07,,5.45,-6.13
3.53,-565.65,,5.25,-5.23
3.57,-567.85,,5.08,-4.81
3.6,-569.88,,4.92,-2.43
3.63,-570.9,,4.83,-2.63
3.67,-572.01,,4.75,-1.95
3.7,-572.83,,4.68,-0.36
3.73,-572.98,,4.67,-0.19
3.77,-573.06,,4.66,0.34
3.8,-572.92,,4.67,2.19
3.83,-571.99,,4.75,1.82
3.87,-571.22,,4.81,3.02
3.9,-569.95,,4.91,3.08
3.93,-568.66,,5.01,4.11
3.97,-566.93,,5.15,4.77
4,-564.92,,5.31,5.93
4.03,-562.42,,5.51,3.84
4.07,-560.81,,5.63,4.2
4.1,-559.04,,5.77,3.87
4.13,-557.41,,5.9,3.31
4.17,-556.01,,6.01,1.77
4.2,-555.27,,6.07,0.77
4.23,-554.94,,6.1,-0.71
4.27,-555.24,,6.07,-1.08
4.3,-555.69,,6.04,-2.33
4.33,-556.67,,5.96,-2.96
4.37,-557.92,,5.86,-2.57
4.4,-559,,5.78,-4.1
4.43,-560.73,,5.64,-3.62
4.47,-562.25,,5.52,-4.12
4.5,-563.99,,5.38,-3
4.53,-565.25,,5.28,-4
4.57,-566.93,,5.15,-1.45
4.6,-567.54,,5.1,-1.58
4.63,-568.21,,5.05,0.38
4.67,-568.05,,5.06,1.07
4.7,-567.59,,5.1,1.99
4.73,-566.76,,5.16,3.82
4.77,-565.15,,5.29,3.22
4.8,-563.79,,5.4,4.38
4.83,-561.95,,5.54,4.29
4.87,-560.14,,5.69,3.64
4.9,-558.61,,5.81,3.61
4.93,-557.09,,5.93,2.67
4.97,-555.97,,6.02,2.83
5,-554.77,,6.11,2.05
5.03,-553.91,,6.18,1.76
5.07,-553.17,,6.24,0.32
5.1,-553.04,,6.25,-0.67
5.13,-553.32,,6.23,-1.34
5.17,-553.88,,6.18,-2.4
5.2,-554.89,,6.1,-1.97
5.23,-555.72,,6.04,-2.78
5.27,-556.89,,5.94,-1.88
5.3,-557.68,,5.88,-2.62
5.33,-558.79,,5.79,-0.89
5.37,-559.16,,5.76,-1.98
5.4,-559.99,,5.7,-1.39
5.43,-560.58,,5.65,-1.01
5.47,-561,,5.62,-0.13
5.5,-561.05,,5.61,-0.13
5.53,-561.11,,5.61,0.62
5.57,-560.85,,5.63,1.76
5.6,-560.11,,5.69,1.07
5.63,-559.66,,5.72,1.79
5.67,-558.9,,5.78,2.37
5.7,-557.91,,5.86,2.58
5.73,-556.82,,5.95,2.95
5.77,-555.58,,6.05,3.63
5.8,-554.05,,6.17,2.59
5.83,-552.96,,6.25,2.38
5.87,-551.96,,6.33,1.58
5.9,-551.3,,6.39,1.86
5.93,-550.52,,6.45,0.08
5.97,-550.48,,6.45,1.07
6,-550.03,,6.49,0.21
6.03,-549.95,,6.49,0.07
6.07,-549.92,,6.5,0.19
6.1,-549.84,,6.5,-0.16
6.13,-549.91,,6.5,-0.03
6.17,-549.92,,6.5,-0.23
6.2,-550.01,,6.49,-0.01
6.23,-550.02,,6.49,-0.33
6.27,-550.16,,6.48,0.08
6.3,-550.12,,6.48,0.2
6.33,-550.04,,6.49,-0.03
6.37,-550.05,,6.49,-0.24
6.4,-550.15,,6.48,0.46
6.43,-549.96,,6.49,0.15
6.47,-549.89,,6.5,1.67
6.5,-549.19,,6.55,0.8
6.53,-548.86,,6.58,2.12
6.57,-547.96,,6.65,2.24
6.6,-547.02,,6.73,2.45
6.63,-545.99,,6.81,2.76
6.67,-544.83,,6.9,2.34
6.7,-543.85,,6.98,2.18
6.73,-542.93,,7.05,1.75
6.77,-542.19,,7.11,0.76
6.8,-541.87,,7.13,-0.18
6.83,-541.95,,7.13,-0.13
6.87,-542,,7.12,-1.58
6.9,-542.67,,7.07,-0.86
6.93,-543.03,,7.04,-2.01
6.97,-543.88,,6.97,-0.81
7,-544.22,,6.95,-0.75
7.03,-544.53,,6.92,-0.63
7.07,-544.8,,6.9,0.16
7.1,-544.73,,6.91,1.18
7.13,-544.23,,6.95,1.23
7.17,-543.72,,6.99,1.9
7.2,-542.92,,7.05,2.34
7.23,-541.93,,7.13,1.16
7.27,-541.44,,7.17,1.24
7.3,-540.92,,7.21,1
7.33,-540.5,,7.24,1.2
7.37,-539.99,,7.28,0.48
7.4,-539.79,,7.3,0.16
7.43,-539.73,,7.3,-0.22
7.47,-539.82,,7.3,-0.04
7.5,-539.84,,7.29,1.07
7.53,-539.39,,7.33,0.95
7.57,-538.99,,7.36,0.22
7.6,-538.9,,7.37,0.31
7.63,-538.77,,7.38,0.63
7.67,-538.5,,7.4,1.33
7.7,-537.94,,7.44,0.69
7.73,-537.65,,7.47,1.96
7.77,-536.83,,7.53,2.25
7.8,-535.88,,7.61,1.89
7.83,-535.09,,7.67,0.94
7.87,-534.69,,7.7,1.65
7.9,-534,,7.76,0.5
7.93,-533.78,,7.77,0.71
7.97,-533.48,,7.8,0.73
8,-533.18,,7.82,0.48
8.03,-532.98,,7.84,0.12
8.07,-532.93,,7.84,0.27
8.1,-532.81,,7.85,0.66
8.13,-532.53,,7.87,1.33
8.17,-531.97,,7.92,1.97
8.2,-531.14,,7.98,1.57
8.23,-530.48,,8.03,1.86
8.27,-529.7,,8.1,2.3
8.3,-528.73,,8.17,2.22
8.33,-527.8,,8.25,2.21
8.37,-526.87,,8.32,4.04
8.4,-525.17,,8.46,2.67
8.43,-524.04,,8.54,2.69
8.47,-522.91,,8.63,4.4
8.5,-521.06,,8.78,2.58
8.53,-519.97,,8.87,2.63
8.57,-518.87,,8.95,2.4
8.6,-517.86,,9.03,2.15
8.63,-516.95,,9.11,0.33
8.67,-516.81,,9.12,0.39
8.7,-516.65,,9.13,-0.33
8.73,-516.79,,9.12,-0.37
8.77,-516.94,,9.11,-0.33
8.8,-517.08,,9.1,-1.74
8.83,-517.82,,9.04,-0.31
8.87,-517.95,,9.03,-0.64
8.9,-518.22,,9.01,0.6
8.93,-517.97,,9.03,0.41
8.97,-517.8,,9.04,0.75
9,-517.48,,9.06,1.27
9.03,-516.95,,9.11,2.32
9.07,-515.97,,9.18,1.72
9.1,-515.24,,9.24,1.57
9.13,-514.58,,9.29,1.94
9.17,-513.77,,9.36,3.28
9.2,-512.39,,9.47,3.34
9.23,-510.98,,9.58,3.27
9.27,-509.6,,9.69,3.93
9.3,-507.95,,9.82,4.47
9.33,-506.07,,9.97,4.34
9.37,-504.24,,10.11,3.47
9.4,-502.78,,10.23,4.06
9.43,-501.07,,10.36,2.56
9.47,-500,,10.45,2.21
9.5,-499.06,,10.52,0.83
9.53,-498.71,,10.55,1.75
9.57,-497.98,,10.61,0.43
9.6,-497.79,,10.62,1.59
9.63,-497.13,,10.68,0.53
9.67,-496.9,,10.69,0.41
9.7,-496.73,,10.71,0.97
9.73,-496.32,,10.74,0.91
9.77,-495.94,,10.77,1.57
9.8,-495.28,,10.82,0.83
9.83,-494.93,,10.85,0.71
9.87,-494.63,,10.87,1.39
9.9,-494.04,,10.92,0.4
9.93,-493.88,,10.93,1.43
9.97,-493.28,,10.98,0.94
10,-492.88,,11.01,0.63
10.03,-492.61,,11.03,1.2
10.07,-492.11,,11.07,0.89
10.1,-491.73,,11.1,2.51
